,Age,Attrition,BusinessTravel,DistanceFromHome,EducationField,EnvironmentSatisfaction,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,1,Travel_Rarely,1,Life Sciences,2,Sales Executive,Single,5993,8,Yes,11,0,8,6,4,0,5
1,49,0,Travel_Frequently,8,Life Sciences,3,Research Scientist,Married,5130,1,No,23,1,10,10,7,1,7
2,37,1,Travel_Rarely,2,Other,4,Laboratory Technician,Single,2090,6,Yes,15,0,7,0,0,0,0
3,33,0,Travel_Frequently,3,Life Sciences,4,Research Scientist,Married,2909,1,Yes,11,0,8,8,7,3,0
4,27,0,Travel_Rarely,2,Medical,1,Laboratory Technician,Married,3468,9,No,12,1,6,2,2,2,2
5,32,0,Travel_Frequently,2,Life Sciences,4,Laboratory Technician,Single,3068,0,No,13,0,8,7,7,3,6
6,59,0,Travel_Rarely,3,Medical,3,Laboratory Technician,Married,2670,4,Yes,20,3,12,1,0,0,0
7,30,0,Travel_Rarely,24,Life Sciences,4,Laboratory Technician,Divorced,2693,1,No,22,1,1,1,0,0,0
8,38,0,Travel_Frequently,23,Life Sciences,4,Manufacturing Director,Single,9526,0,No,21,0,10,9,7,1,8
9,36,0,Travel_Rarely,27,Medical,3,Healthcare Representative,Married,5237,6,No,13,2,17,7,7,7,7
10,35,0,Travel_Rarely,16,Medical,1,Laboratory Technician,Married,2426,0,No,13,1,6,5,4,0,3
11,29,0,Travel_Rarely,15,Life Sciences,4,Laboratory Technician,Single,4193,0,Yes,12,0,10,9,5,0,8
12,31,0,Travel_Rarely,26,Life Sciences,1,Research Scientist,Divorced,2911,1,No,17,1,5,5,2,4,3
13,34,0,Travel_Rarely,19,Medical,2,Laboratory Technician,Divorced,2661,0,No,11,1,3,2,2,1,2
14,28,1,Travel_Rarely,24,Life Sciences,3,Laboratory Technician,Single,2028,5,Yes,14,0,6,4,2,0,3
15,29,0,Travel_Rarely,21,Life Sciences,2,Manufacturing Director,Divorced,9980,1,No,11,1,10,10,9,8,8
16,32,0,Travel_Rarely,5,Life Sciences,1,Research Scientist,Divorced,3298,0,Yes,12,2,7,6,2,0,5
17,22,0,Non-Travel,16,Medical,4,Laboratory Technician,Divorced,2935,1,Yes,13,2,1,1,0,0,0
18,53,0,Travel_Rarely,2,Life Sciences,1,Manager,Married,15427,2,No,16,0,31,25,8,3,7
19,38,0,Travel_Rarely,2,Life Sciences,4,Research Scientist,Single,3944,5,Yes,11,0,6,3,2,1,2
